Rule,Support,Confidence
e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0 --> m_Num-A-N-Dem=0, 3, 0.42857142857142855
b_Dem-Num-A-N=0 --> e_Num-N-A-Dem=0 & m_Num-A-N-Dem=0, 3, 0.008174386920980926
e_Num-N-A-Dem=0 --> b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0, 3, 0.012195121951219513
g_N-Num-A-Dem=0 & q_N-Num-Dem-A=0 --> a_N-A-Num-Dem=0, 3, 1.0
a_N-A-Num-Dem=0 & q_N-Num-Dem-A=0 --> g_N-Num-A-Dem=0, 3, 1.0
q_N-Num-Dem-A=0 --> a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0, 3, 0.5
a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0 --> q_N-Num-Dem-A=0, 3, 0.04411764705882353
g_N-Num-A-Dem=0 --> a_N-A-Num-Dem=0 & q_N-Num-Dem-A=0, 3, 0.024
a_N-A-Num-Dem=0 --> g_N-Num-A-Dem=0 & q_N-Num-Dem-A=0, 3, 0.005555555555555556
l_N-Dem-Num-A=0 & f_N-A-Dem-Num=0 --> a_N-A-Num-Dem=0, 3, 1.0
a_N-A-Num-Dem=0 & f_N-A-Dem-Num=0 --> l_N-Dem-Num-A=0, 3, 0.1111111111111111
f_N-A-Dem-Num=0 --> a_N-A-Num-Dem=0 & l_N-Dem-Num-A=0, 3, 0.028037383177570093
a_N-A-Num-Dem=0 & l_N-Dem-Num-A=0 --> f_N-A-Dem-Num=0, 3, 0.42857142857142855
l_N-Dem-Num-A=0 --> a_N-A-Num-Dem=0 & f_N-A-Dem-Num=0, 3, 0.04
a_N-A-Num-Dem=0 --> l_N-Dem-Num-A=0 & f_N-A-Dem-Num=0, 3, 0.005555555555555556
c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0, 3, 0.17647058823529413
a_N-A-Num-Dem=0 & i_Dem-A-N-Num=0 --> c_Dem-N-A-Num=0, 3, 0.6
i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0, 3, 0.0375
a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0 --> i_Dem-A-N-Num=0, 3, 0.0967741935483871
c_Dem-N-A-Num=0 --> a_N-A-Num-Dem=0 & i_Dem-A-N-Num=0, 3, 0.015957446808510637
a_N-A-Num-Dem=0 --> c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0, 3, 0.005555555555555556
q_N-Num-Dem-A=0 --> a_N-A-Num-Dem=0, 3, 0.5
a_N-A-Num-Dem=0 --> q_N-Num-Dem-A=0, 3, 0.005555555555555556
o_A-N-Num-Dem=0 --> p_A-N-Dem-Num=0, 3, 0.06666666666666667
p_A-N-Dem-Num=0 --> o_A-N-Num-Dem=0, 3, 0.11538461538461539
c_Dem-N-A-Num=0 --> o_A-N-Num-Dem=0, 3, 0.015957446808510637
o_A-N-Num-Dem=0 --> c_Dem-N-A-Num=0, 3, 0.06666666666666667
f_N-A-Dem-Num=0 --> o_A-N-Num-Dem=0, 3, 0.028037383177570093
o_A-N-Num-Dem=0 --> f_N-A-Dem-Num=0, 3, 0.06666666666666667
n_N-Dem-A-Num=0 --> h_Dem-N-Num-A=0, 3, 0.06976744186046512
h_Dem-N-Num-A=0 --> n_N-Dem-A-Num=0, 3, 0.037037037037037035
q_N-Num-Dem-A=0 --> g_N-Num-A-Dem=0, 3, 0.5
g_N-Num-A-Dem=0 --> q_N-Num-Dem-A=0, 3, 0.024
f_N-A-Dem-Num=0 --> l_N-Dem-Num-A=0, 3, 0.028037383177570093
l_N-Dem-Num-A=0 --> f_N-A-Dem-Num=0, 3, 0.04
o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0, 2, 1.0
a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0 --> o_A-N-Num-Dem=0, 2, 0.6666666666666666
c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0, 2, 0.11764705882352941
a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 & i_Dem-A-N-Num=0 --> c_Dem-N-A-Num=0, 2, 0.6666666666666666
o_A-N-Num-Dem=0 & i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0, 2, 0.5
a_N-A-Num-Dem=0 & i_Dem-A-N-Num=0 --> o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0, 2, 0.4
i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0, 2, 0.025
a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0 --> i_Dem-A-N-Num=0, 2, 0.6666666666666666
o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0 --> a_N-A-Num-Dem=0 & i_Dem-A-N-Num=0, 2, 0.6666666666666666
a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0 --> o_A-N-Num-Dem=0 & i_Dem-A-N-Num=0, 2, 0.06451612903225806
c_Dem-N-A-Num=0 --> a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 & i_Dem-A-N-Num=0, 2, 0.010638297872340425
a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 --> c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0, 2, 0.08333333333333333
o_A-N-Num-Dem=0 --> a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0 & i_Dem-A-N-Num=0, 2, 0.044444444444444446
c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0 & n_N-Dem-A-Num=0 --> h_Dem-N-Num-A=0, 2, 1.0
